For M5|Adr    57|KD1        7      18.0 C    A14|                      |                      |Z        -9.01277 m   | 
For M5|Adr    58|KD1        7      18.0 C  3 A14|Rb        1.67287 m   |HD         25.344 m   |                      | 
For M5|Adr    59|KD1        8      18.0 C  3 A14|Rf        1.12664 m   |HD         24.988 m   |                      | 
For M5|Adr    60|KD1        8      18.0 C  3 A14|Rf        1.12680 m   |HD         24.985 m   |                      | 
For M5|Adr    61|KD1        7      18.0 C  3 A14|Rb        1.67287 m   |HD         25.343 m   |                      | 
For M5|Adr    62|KD1        8      18.0 C    A14|                      |                      |Z        -8.46662 m   | 
For M5|Adr    63|KD1        8      18.0 C  3 A14|Rb        1.61751 m   |HD         17.486 m   |                      | 
For M5|Adr    64|KD1        9      18.0 C  3 A14|Rf        1.18748 m   |HD         16.468 m   |                      | 
For M5|Adr    65|KD1        9      18.0 C  3 A14|Rf        1.18752 m   |HD         16.459 m   |                      | 
For M5|Adr    66|KD1        8      18.0 C  3 A14|Rb        1.61754 m   |HD         17.495 m   |                      | 
For M5|Adr    67|KD1        9      18.0 C    A14|                      |                      |Z        -8.03660 m   | 
For M5|Adr    68|KD1        9      18.0 C  3 A14|Rb        2.00029 m   |HD          6.024 m   |                      | 
For M5|Adr    69|KD1       10      18.0 C  3 A14|Rf        0.10563 m   |HD          5.415 m   |                      | 
For M5|Adr    70|KD1       10      18.0 C  3 A14|Rf        0.10560 m   |HD          5.415 m   |                      | 
For M5|Adr    71|KD1        9      18.0 C  3 A14|Rb        2.00024 m   |HD          6.025 m   |                      | 
For M5|Adr    72|KD1       10      18.0 C    A14|                      |                      |Z        -6.14195 m   | 
For M5|Adr    73|KD1       10      18.0 C  3 A14|Rb        2.32367 m   |HD          4.669 m   |                      | 
For M5|Adr    74|KD1       11      18.0 C  3 A14|Rf        0.24308 m   |HD          5.363 m   |                      | 
For M5|Adr    75|KD1       11      18.0 C  3 A14|Rf        0.24308 m   |HD          5.362 m   |                      | 
For M5|Adr    76|KD1       10      18.0 C  3 A14|Rb        2.32397 m   |HD          4.670 m   |                      | 
For M5|Adr    77|KD1       11      18.0 C    A14|                      |                      |Z        -4.06121 m   | 
For M5|Adr    78|KD1       11      18.0 C  3 A14|Rb        2.12152 m   |HD          5.319 m   |                      | 
For M5|Adr    79|KD1       12      18.0 C  3 A14|Rf        0.45337 m   |HD          6.186 m   |                      | 
For M5|Adr    80|KD1       12      18.0 C  3 A14|Rf        0.45338 m   |HD          6.185 m   |                      | 
For M5|Adr    81|KD1       11      18.0 C  3 A14|Rb        2.12144 m   |HD          5.318 m   |                      | 
For M5|Adr    82|KD1       12      18.0 C    A14|                      |                      |Z        -2.39310 m   | 
For M5|Adr    83|KD1       12      18.0 C  3 A14|Rb        2.09300 m   |HD          6.309 m   |                      | 
For M5|Adr    84|KD1       13      18.0 C  3 A14|Rf        0.40663 m   |HD          5.778 m   |                      | 
For M5|Adr    85|KD1       13      18.0 C  3 A14|Rf        0.40659 m   |HD          5.778 m   |                      | 
For M5|Adr    86|KD1       12      18.0 C  3 A14|Rb        2.09306 m   |HD          6.307 m   |                      | 
For M5|Adr    87|KD1       13      18.0 C    A14|                      |                      |Z        -0.70668 m   | 
For M5|Adr    88|KD1       13      18.0 C  3 A14|Rb        2.36778 m   |HD          6.135 m   |                      | 
For M5|Adr    89|KD1       14      18.0 C  3 A14|Rf        0.48587 m   |HD          6.835 m   |                      | 
For M5|Adr    90|KD1       14      18.0 C  3 A14|Rf        0.48589 m   |HD          6.835 m   |                      | 
For M5|Adr    91|KD1       13      18.0 C  3 A14|Rb        2.36771 m   |HD          6.133 m   |                      | 
For M5|Adr    92|KD1       14      18.0 C    A14|                      |                      |Z         1.17518 m   | 
For M5|Adr    93|KD1       14      19.0 C  3 A14|Rb        2.05296 m   |HD          8.363 m   |                      | 
For M5|Adr    94|KD1       15      19.0 C  3 A14|Rf        0.30997 m   |HD          8.955 m   |                      | 
For M5|Adr    95|KD1       15      19.0 C  3 A14|Rf        0.30997 m   |HD          8.956 m   |                      | 
For M5|Adr    96|KD1       14      19.0 C  3 A14|Rb        2.05295 m   |HD          8.365 m   |                      | 
For M5|Adr    97|KD1       15      19.0 C    A14|                      |                      |Z         2.91817 m   | 
For M5|Adr    98|KD1       15      19.0 C  3 A14|Rb        2.40178 m   |HD          6.754 m   |                      | 
For M5|Adr    99|KD1       16      19.0 C  3 A14|Rf        0.05778 m   |HD          7.582 m   |                      | 
For M5|Adr   100|KD1       16      19.0 C  3 A14|Rf        0.05772 m   |HD          7.582 m   |                      | 
For M5|Adr   101|KD1       15      19.0 C  3 A14|Rb        2.40179 m   |HD          6.755 m   |                      | 
For M5|Adr   102|KD1       16      19.0 C    A14|                      |                      |Z         5.26220 m   | 
For M5|Adr   103|KD1       16      19.0 C  3 A14|Rb        2.50145 m   |HD          6.061 m   |                      | 
For M5|Adr   104|KD1       17      19.0 C  3 A14|Rf        0.05756 m   |HD          6.477 m   |                      | 
For M5|Adr   105|KD1       17      19.0 C  3 A14|Rf        0.05758 m   |HD          6.479 m   |                      | 
For M5|Adr   106|KD1       16      19.0 C  3 A14|Rb        2.50138 m   |HD          6.065 m   |                      | 
For M5|Adr   107|KD1       17      19.0 C    A14|                      |                      |Z         7.70605 m   | 
For M5|Adr   108|KD1       17      19.0 C  3 A14|Rb        2.49526 m   |HD          6.271 m   |                      | 
For M5|Adr   109|KD1       18      19.0 C  3 A14|Rf        0.25670 m   |HD          6.686 m   |                      | 
For M5|Adr   110|KD1       18      19.0 C  3 A14|Rf        0.25670 m   |HD          6.686 m   |                      | 
