For M5|Adr    56|KD1       12      22.0 C  3 B06|Rf        0.93762 m   |HD         31.285 m   |                      | 
For M5|Adr    57|KD1       11      22.0 C  3 B06|Rb        1.47655 m   |HD         33.045 m   |                      | 
For M5|Adr    58|KD1       12      22.0 C    B06|                      |                      |Z         1.56668 m   | 
For M5|Adr    59|KD1       12      21.0 C  3 B06|Rb        1.78895 m   |HD         36.016 m   |                      | 
For M5|Adr    60|KD1       13      22.0 C  3 B06|Rf        0.72754 m   |HD         38.195 m   |                      | 
For M5|Adr    61|KD1       13      22.0 C  3 B06|Rf        0.72751 m   |HD         38.150 m   |                      | 
For M5|Adr    62|KD1       12      22.0 C  3 B06|Rb        1.78887 m   |HD         36.050 m   |                      | 
For M5|Adr    63|KD1       13      22.0 C    B06|                      |                      |Z         2.62807 m   | 
For M5|Adr    64|KD1       13      22.0 C  3 B06|Rb        1.88019 m   |HD         35.190 m   |                      | 
For M5|Adr    65|KD1       14      22.0 C  3 B06|Rf        0.44935 m   |HD         35.889 m   |                      | 
For M5|Adr    66|KD1       14      22.0 C  3 B06|Rf        0.44920 m   |HD         35.903 m   |                      | 
For M5|Adr    67|KD1       13      22.0 C  3 B06|Rb        1.87992 m   |HD         35.210 m   |                      | 
For M5|Adr    68|KD1       14      22.0 C    B06|                      |                      |Z         4.05884 m   | 
For M5|Adr    69|KD1       14##### 22.0 C  3 B06|Rb        1.73232 m   |HD         19.441 m   |                      | 
For M5|Adr    70|TO  Measurement repeated    B06|                      |                      |                      | 
For M5|Adr    71|KD1       14      22.0 C  3 B06|Rb        1.76740 m   |HD         21.890 m   |                      | 
For M5|Adr    72|KD1       15      22.0 C  3 B06|Rf        0.36686 m   |HD         20.524 m   |                      | 
For M5|Adr    73|KD1       15      22.0 C  3 B06|Rf        0.36686 m   |HD         20.519 m   |                      | 
For M5|Adr    74|KD1       14      22.0 C  3 B06|Rb        1.76744 m   |HD         21.894 m   |                      | 
For M5|Adr    75|KD1       15      22.0 C    B06|                      |                      |Z         5.45940 m   | 
For M5|Adr    76|KD1       15      22.0 C  3 B06|Rb        1.83702 m   |HD         21.192 m   |                      | 
For M5|Adr    77|KD1       16      22.0 C  3 B06|Rf        1.28840 m   |HD         22.089 m   |                      | 
For M5|Adr    78|KD1       16      22.0 C  3 B06|Rf        1.28839 m   |HD         22.089 m   |                      | 
For M5|Adr    79|KD1       15      22.0 C  3 B06|Rb        1.83705 m   |HD         21.192 m   |                      | 
For M5|Adr    80|KD1       16      22.0 C    B06|                      |                      |Z         6.00804 m   | 
For M5|Adr    81|KD1       16      22.0 C  3 B06|Rb        2.07791 m   |HD         24.079 m   |                      | 
For M5|Adr    82|KD1       17      22.0 C  3 B06|Rf        0.51495 m   |HD         24.004 m   |                      | 
