For M5|Adr     1|TO  1061218m.dat                |                      |                      |                      For M5|Adr    13|KD1        B      20.0 C  3    |R         0.82754 m   |HD         52.898 m   |                      | 
For M5|Adr    68|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    69|KD1        5##### 22.0 C  3 B01|Rb        1.36180 m   |HD         28.649 m   |                      | 
For M5|Adr    70|KD1        6##### 22.0 C  3 B01|Rf        1.53305 m   |HD         28.255 m   |                      | 
For M5|Adr    71|KD1        6##### 22.0 C  3 B01|Rf        1.53272 m   |HD         28.265 m   |                      | 
For M5|Adr    72|KD1        5##### 22.0 C  3 B01|Rb        1.36281 m   |HD         28.639 m   |                      | 
For M5|Adr    73|KD1        6##### 22.0 C    B01|                      |                      |Z         2.95251 m   | 
For M5|Adr    74|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    75|KD1        5      22.0 C  3 B01|Rb        1.36240 m   |HD         28.612 m   |                      | 
For M5|Adr    76|KD1        6      22.0 C  3 B01|Rf        1.53235 m   |HD         28.274 m   |                      | 
For M5|Adr    77|KD1        6      22.0 C  3 B01|Rf        1.53281 m   |HD         28.265 m   |                      | 
For M5|Adr    78|KD1        5      22.0 C  3 B01|Rb        1.36249 m   |HD         28.631 m   |                      | 
For M5|Adr    79|KD1        6      22.0 C    B01|                      |                      |Z         2.95296 m   | 
For M5|Adr    80|KD1        6##### 22.0 C  3 B01|Rb        1.08484 m   |HD         23.239 m   |                      | 
For M5|Adr    81|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    82|KD1        6##### 22.0 C  3 B01|Rb        1.08485 m   |HD         23.286 m   |                      | 
For M5|Adr    83|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    84|KD1        6##### 22.0 C  3 B01|Rb        1.08478 m   |HD         23.277 m   |                      | 
For M5|Adr    85|KD1        7##### 22.0 C  3 B01|Rf        1.55909 m   |HD         22.403 m   |                      | 
For M5|Adr    86|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    87|KD1        7##### 22.0 C  3 B01|Rf        1.55946 m   |HD         22.400 m   |                      | 
For M5|Adr    88|KD1        7##### 22.0 C  3 B01|Rf        1.55923 m   |HD         22.400 m   |                      | 
For M5|Adr    89|KD1        6##### 22.0 C  3 B01|Rb        1.08725 m   |HD         23.271 m   |                      | 
For M5|Adr    90|KD1        7##### 22.0 C    B01|                      |                      |Z         2.47963 m   | 
For M5|Adr    91|TO  Station repeated        B01|                      |                      |                      | 
For M5|Adr    92|KD1        6      22.0 C  3 B01|Rb        1.08707 m   |HD         23.273 m   |                      | 
For M5|Adr    93|KD1        7##### 22.0 C  3 B01|Rf        1.55931 m   |HD         22.419 m   |                      | 
For M5|Adr    94|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr    95|KD1        7      22.0 C  3 B01|Rf        1.55929 m   |HD         22.427 m   |                      | 
For M5|Adr    96|KD1        7      22.0 C  3 B01|Rf        1.55944 m   |HD         22.417 m   |                      | 
For M5|Adr    97|KD1        6      22.0 C  3 B01|Rb        1.08717 m   |HD         23.274 m   |                      | 
For M5|Adr    98|KD1        7      22.0 C    B01|                      |                      |Z         2.48071 m   | 
For M5|Adr    99|KD1        7      22.0 C  3 B01|Rb        0.89805 m   |HD         22.447 m   |                      | 
For M5|Adr   100|KD1        8      22.0 C  3 B01|Rf        1.72754 m   |HD         21.489 m   |                      | 
For M5|Adr   101|KD1        8      22.0 C  3 B01|Rf        1.72750 m   |HD         21.487 m   |                      | 
